click pressed False -631 262
break 0.28
moved -631 263
moved -631 263
moved -631 263
moved -632 264
moved -632 264
moved -633 265
moved -634 266
moved -634 266
moved -635 267
moved -636 267
moved -636 268
moved -637 268
moved -637 269
moved -638 269
moved -638 270
moved -639 270
moved -640 271
moved -640 271
moved -641 272
moved -642 272
moved -643 273
moved -644 273
moved -644 274
moved -645 275
moved -646 275
moved -647 276
moved -648 277
moved -649 277
moved -650 278
moved -651 279
moved -652 279
moved -653 280
moved -654 281
moved -655 282
moved -656 282
moved -657 283
moved -659 284
moved -660 285
moved -661 285
moved -662 286
moved -664 287
moved -665 288
moved -666 289
moved -668 289
moved -669 290
moved -670 291
moved -672 292
moved -673 293
moved -675 294
moved -676 295
moved -677 295
moved -679 296
moved -680 297
moved -682 298
moved -684 299
moved -685 300
moved -687 301
moved -688 302
moved -690 302
moved -692 303
moved -693 304
moved -695 305
moved -697 306
moved -698 307
moved -700 307
moved -702 308
moved -704 309
moved -705 310
moved -707 311
moved -709 311
moved -711 312
moved -713 313
moved -714 313
moved -716 314
moved -718 315
moved -720 315
moved -722 316
moved -724 317
moved -726 317
moved -728 318
moved -730 318
moved -732 319
moved -734 319
moved -735 319
moved -737 320
moved -739 320
moved -741 321
moved -743 321
moved -745 321
moved -747 321
moved -749 321
moved -751 322
moved -753 322
moved -755 322
moved -757 322
moved -759 322
moved -761 322
moved -763 322
moved -765 322
moved -767 322
moved -769 322
moved -771 322
moved -773 322
moved -775 322
moved -777 322
moved -779 321
moved -781 321
moved -783 321
moved -785 321
moved -787 320
moved -789 320
moved -791 319
moved -793 319
moved -795 319
moved -797 318
moved -798 318
moved -800 317
moved -802 316
moved -804 316
moved -806 315
moved -808 315
moved -809 314
moved -811 313
moved -813 313
moved -815 312
moved -816 311
moved -818 310
moved -820 309
moved -821 309
moved -823 308
moved -825 307
moved -826 306
moved -828 305
moved -829 304
moved -831 304
moved -832 303
moved -834 302
moved -835 301
moved -836 300
moved -838 299
moved -839 298
moved -840 297
moved -841 296
moved -842 295
moved -844 294
moved -845 294
moved -846 293
moved -847 292
moved -847 291
moved -848 290
moved -849 289
moved -850 288
moved -851 287
moved -851 286
moved -852 285
moved -853 285
moved -853 284
moved -854 283
moved -854 282
moved -855 281
moved -855 280
moved -855 279
moved -856 279
moved -856 278
moved -856 277
moved -856 276
moved -857 275
moved -857 274
moved -857 273
moved -857 273
moved -857 272
moved -857 271
moved -857 270
moved -857 269
moved -857 268
moved -857 267
moved -856 267
moved -856 266
moved -856 265
moved -855 264
moved -855 263
moved -854 262
moved -853 262
moved -853 261
moved -852 260
moved -851 259
moved -850 259
moved -849 258
moved -848 257
moved -847 256
moved -846 256
moved -845 255
moved -844 254
moved -843 254
moved -842 253
moved -840 252
moved -839 252
moved -838 251
moved -836 250
moved -835 250
moved -833 249
moved -832 249
moved -830 248
moved -828 248
moved -827 247
moved -825 247
moved -823 246
moved -822 246
moved -820 246
moved -818 245
moved -816 245
moved -814 245
moved -812 244
moved -810 244
moved -808 244
moved -806 243
moved -804 243
moved -802 243
moved -800 243
moved -798 242
moved -796 242
moved -794 242
moved -789 242
moved -787 242
moved -785 242
moved -783 241
moved -781 241
moved -778 241
moved -776 241
moved -774 241
moved -772 241
moved -769 241
moved -767 241
moved -765 241
moved -762 241
moved -760 241
moved -758 241
moved -755 241
moved -753 242
moved -751 242
moved -748 242
moved -746 242
moved -744 243
moved -741 243
moved -739 243
moved -737 243
moved -735 244
moved -732 244
moved -730 245
moved -728 245
moved -725 246
moved -723 246
moved -721 247
moved -719 247
moved -717 248
moved -715 248
moved -713 249
moved -710 250
moved -708 251
moved -706 251
moved -704 252
moved -702 253
moved -701 254
moved -699 254
moved -697 255
moved -695 256
moved -693 257
moved -691 258
moved -690 259
moved -688 260
moved -686 261
moved -685 262
moved -683 263
moved -682 264
moved -680 265
moved -679 266
moved -678 267
moved -676 268
moved -675 269
moved -674 270
moved -673 271
moved -672 272
moved -670 273
moved -669 274
moved -668 275
moved -667 277
moved -666 278
moved -666 279
moved -665 280
moved -664 281
moved -663 282
moved -662 283
moved -662 284
moved -661 285
moved -660 286
moved -660 286
moved -659 287
moved -659 288
moved -658 289
moved -658 290
moved -657 291
moved -657 291
moved -656 292
moved -656 293
moved -656 294
moved -655 294
moved -655 295
moved -655 296
moved -655 296
moved -654 297
moved -654 297
moved -654 298
moved -654 298
moved -654 299
moved -654 299
moved -653 300
moved -653 300
moved -653 301
break 0.01
moved -653 302
break 0.01
moved -653 302
break 0.01
moved -654 302
moved -654 301
moved -654 301
moved -655 300
moved -655 300
moved -656 299
moved -656 299
moved -656 299
moved -656 298
moved -656 298
moved -657 297
moved -657 297
moved -657 296
moved -658 296
moved -658 295
moved -658 294
moved -659 294
moved -659 294
moved -659 293
moved -659 292
moved -659 292
moved -660 292
moved -660 291
moved -660 291
moved -660 290
moved -660 289
moved -660 288
moved -660 287
moved -660 287
moved -660 286
moved -660 285
moved -660 284
moved -660 284
moved -660 283
moved -660 282
moved -660 282
moved -660 281
moved -660 281
moved -659 280
moved -659 280
moved -659 279
moved -658 279
moved -658 278
moved -657 277
moved -657 277
moved -657 276
moved -656 275
moved -656 275
moved -655 275
moved -655 274
moved -655 274
moved -654 273
moved -654 273
moved -654 273
moved -653 272
moved -653 272
moved -652 272
moved -652 271
moved -651 271
moved -650 270
moved -650 270
moved -649 270
moved -649 269
moved -649 269
moved -648 269
moved -648 269
moved -647 268
moved -647 268
moved -646 268
moved -646 268
moved -646 267
moved -645 267
moved -645 267
moved -644 267
moved -644 267
moved -643 266
moved -643 266
moved -642 266
moved -642 266
moved -642 266
moved -641 266
break 0.01
click pressed True -641 266
moved -641 266
break 0.1
click pressed False -641 266
